"","DatasetID","Latitude","Longitude","yr250 ","yr750 ","yr1250 ","yr1750 ","yr2250 ","yr2750 ","yr3250 ","yr3750 ","yr4250 ","yr4750 ","yr5250 ","yr5750 ","yr6250 ","yr6750 ","yr7250 ","yr7750 ","yr8250 ","yr8750 ","yr9250 ","yr9750 ","yr10250 ","yr10750 ","yr11250 ","yr11750 ","yr12250 ","yr12750 ","yr13250 ","yr13750 ","yr14250 ","yr14750 "
"1",7,47,-80.116667,8.6263444172954,5.19208021179519,4.45071868583162,3.59608877673912,1.9858088117048,4.00011981787683,1.86737214132917,1.76936837621653,2.38021154182411,1.75205953051141,1.45873141003364,1.44297337954306,1.0101455679149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",24,53.333333,-60.583333,0,0,0,0,58.852204913586,59.6736596736597,64.5669291338583,55.4317548746518,60.8517359327665,61.0815025459672,59.7263890931591,14.7371350568342,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",25,52.516667,-57.033333,72.0403022670025,0,0,0,0,0,73.7945492662474,0,0,64.1618497109827,0,0,49.1701244813278,11.6554054054054,0,27.8048780487805,0,5.94713656387665,11.8055555555556,0,0,2.3696682464455,0,1.96560196560197,0,1.65876777251185,0,0,6.72268907563025,0
"4",27,54.583333,-57.366667,0,0,0,0,37.7682403433476,0,28.1395348837209,0,38.1538461538462,0,30.5147058823529,0,6.35451505016722,0,7.94979079497908,0,6.2015503875969,0,7.46268656716418,7.69230769230769,0,0,0,0,0,0,0,0,0,0
"5",29,44.8036,-94.5579,0.416456101839274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",30,46.206111,-95.293611,0,0,0,0,0,0,0,2.28571428571429,1.08245181857702,0.404858299595142,1.11343451724165,1.59197958055943,2.5300869050869,0,4.48548812664908,7.32265446224256,1.1864406779661,2.98769771528998,3.59017236680049,29.0123456790123,45.8495602727954,47.3100551872549,39.3616901535275,0,0,0,0,0,0,0
"7",202,46.416667,-92.716667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4327007791917,49.9958526341534,0,0,0,0,0,0,0,0
"8",203,36.03015,-85.50132,0,0,0,0.142450142450142,0,0,0.253164556962025,0.115606936416185,0,0.0807754442649435,0.12970168612192,0.937207122774133,0,0.146305779078274,0.87260034904014,0,0,0.762388818297332,2.96896086369771,2.58751902587519,0,0,7.21649484536082,0,8.29145728643216,7.82829870557052,15.0895140664962,15.4613466334165,20.6522510251281,17.3027989821883
"9",204,45.725,-93.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16472545757072,1.32075471698113,8.1447963800905,35.6780032965245,44.5398462976229,37.8528438492918,0,0,0,0,0,0,0
"10",205,46.7,-85.040278,5.81527752401034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",208,47.481667,-70.684722,13.7161801945888,13.8483965014577,0,9.94694960212202,0,14.0522875816993,0,10.3710751665081,11.8544600938967,0,8.38971583220568,0,5.48387096774194,7.93768545994065,7.38007380073801,0,6.6579634464752,5.96707818930041,9.01657955358869,2.7195782206192,2.05371248025276,2.20356625638209,3.76084860173578,0,0,0,0,0,0,0
"12",217,45.543056,-73.311111,1.96715703044817,0.813122672838885,1.09905953331559,1.21102286658494,0.664983164983165,0.53475935828877,1.03157491595625,1.18523188503233,0.621668533282084,0.495922992231214,0.636908261485473,0.385718306103728,0.238877340655769,0.685942009392762,0.586080586080586,1.23711340206186,1.67785234899329,2.18959982018914,2.93501048218029,16.5029992260062,15.1556394365253,22.1917808219178,30.8449074074074,32.3809523809524,0,0,0,0,0,0
"13",219,45.38,-79.51,1.94455581648433,0.471698113207547,1.36691991530701,0.698761138882852,1.4218009478673,0.948995712028887,1.41847898303583,0.919554875976894,0.928089304257528,1.67464114832536,0,0.48780487804878,0.241545893719807,0,1.43566714295434,1.87797566566743,2.8436018957346,20.3621110757141,8.68362831858407,7.33974358974359,0,0,0,0,0,0,0,0,0,0
"14",221,47.123935,-95.397205,0.574023412568198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",232,44.3,-77.916667,1.78376153992951,1.3260108558842,0.78485137498013,1.52505446623094,0.67223099481164,0.342465753424658,0.121359223300971,0.714285714285714,0.833333333333333,0.494173705333642,0.635145635145635,0.453693761973936,0.602895075269976,0.767609905175993,0.4169454462377,0.535047130167491,1.00502496843291,1.08603187205807,2.18739001619273,18.0396535894191,11.5576235825277,0,0,0,0,0,0,0,0,0
"16",233,47.23,-79.78,8.63911072739046,8.33966820194071,4,4.08686129878716,4.05405405405405,2.69191919191919,1.35746606334842,1.77120801842945,2.5974025974026,0,0.707674335010784,1.82648401826484,0.952380952380952,0.852840287986732,3.29931645325888,4.07725321888412,11.0691190056269,5.3587741524036,15.8215150466966,39.7391241607679,10.5966507707663,0,0,0,0,0,0,0,0,0
